f_THz,mode,abs_G,kz,propagating,side,Re_S,Im_S,power
12.76,1,0,0.2674298248,1,refl,-0.4486967316,0.4904692311,0.4418888236
12.784,1,0,0.2679328276,1,trans,0.5471271801,0.4763684698,0.5262750703
12.784,1,0,0.2679328276,1,refl,-0.4509018036,0.4906720885,0.4440715349
12.808,1,0,0.2684358304,1,trans,0.5449035889,0.4765382474,0.5240086224
12.808,1,0,0.2684358304,1,refl,-0.4531125563,0.4908653004,0.4462597317
12.832,1,0,0.2689388332,1,trans,0.5426742819,0.4766988137,0.5217371352
12.832,1,0,0.2689388332,1,refl,-0.4553290882,0.4910486882,0.4484533928
12.856,1,0,0.269441836,1,trans,0.5404391902,0.4768499593,0.519460402
12.856,1,0,0.269441836,1,refl,-0.4575514993,0.4912220745,0.450652501
12.88,1,0,0.2699448388,1,trans,0.5381982424,0.4769914739,0.5171782143
12.88,1,0,0.2699448388,1,refl,-0.4597798905,0.4913852824,0.4528570434
12.904,1,0,0.2704478416,1,trans,0.5359513646,0.477123147,0.5148903626
12.904,1,0,0.2704478416,1,refl,-0.4620143633,0.4915381361,0.4550670111
12.928,1,0,0.2709508444,1,trans,0.5336984803,0.4772447682,0.5125966366
12.928,1,0,0.2709508444,1,refl,-0.4642550199,0.4916804606,0.4572823988
12.952,1,0,0.2714538472,1,trans,0.5314395114,0.4773561268,0.510296826
12.952,1,0,0.2714538472,1,refl,-0.4665019625,0.4918120819,0.4595032049
12.976,1,0,0.27195685,1,trans,0.5291743777,0.4774570126,0.5079907209
12.976,1,0,0.27195685,1,refl,-0.4687552935,0.4919328268,0.4617294312
13,1,0,0.2724598529,1,trans,0.5269029978,0.4775472157,0.5056781124
13,1,0,0.2724598529,1,refl,-0.4710151146,0.4920425232,0.4639610827
13.024,1,0,0.2729628557,1,trans,0.5246252889,0.4776265271,0.5033587932
13.024,1,0,0.2729628557,1,refl,-0.4732815271,0.4921409997,0.4661981675
13.048,1,0,0.2734658585,1,trans,0.5223411672,0.4776947384,0.5010325581
13.048,1,0,0.2734658585,1,refl,-0.4755546317,0.4922280861,0.4684406964
13.072,1,0,0.2739688613,1,trans,0.5200505484,0.477751642,0.4986992043
13.072,1,0,0.2739688613,1,refl,-0.4778345275,0.4923036128,0.4706886829
13.096,1,0,0.2744718641,1,trans,0.5177533474,0.4777970316,0.4963585322
13.096,1,0,0.2744718641,1,refl,-0.4801213129,0.4923674115,0.472942143
13.12,1,0,0.2749748669,1,trans,0.5154494793,0.477830702,0.4940103455
13.12,1,0,0.2749748669,1,refl,-0.4824150842,0.4924193145,0.4752010948
13.144,1,0,0.2754778697,1,trans,0.5131388591,0.4778524494,0.4916544522
13.144,1,0,0.2754778697,1,refl,-0.4847159362,0.4924591552,0.4774655584
13.168,1,0,0.2759808725,1,trans,0.5108214021,0.4778620714,0.4892906642
13.168,1,0,0.2759808725,1,refl,-0.4870239619,0.4924867677,0.4797355558
13.192,1,0,0.2764838753,1,trans,0.5084970243,0.4778593671,0.4869187985
13.192,1,0,0.2764838753,1,refl,-0.4893392516,0.4925019871,0.4820111105
13.216,1,0,0.2769868781,1,trans,0.5061656426,0.4778441372,0.4845386772
13.216,1,0,0.2769868781,1,refl,-0.4916618936,0.4925046493,0.4842922473
13.24,1,0,0.2774898809,1,trans,0.5038271748,0.4778161843,0.4821501281
13.24,1,0,0.2774898809,1,refl,-0.4939919735,0.4924945912,0.4865789922
13.264,1,0,0.2779928837,1,trans,0.5014815404,0.4777753126,0.4797529846
13.264,1,0,0.2779928837,1,refl,-0.4963295741,0.4924716502,0.4888713723
13.288,1,0,0.2784958865,1,trans,0.4991286602,0.4777213282,0.4773470868
13.288,1,0,0.2784958865,1,refl,-0.498674775,0.4924356647,0.4911694151
13.312,1,0,0.2789988893,1,trans,0.496768457,0.4776540391,0.4749322809
13.312,1,0,0.2789988893,1,refl,-0.5010276529,0.492386474,0.4934731487
13.336,1,0,0.2795018921,1,trans,0.4944008557,0.4775732555,0.4725084204
13.336,1,0,0.2795018921,1,refl,-0.503388281,0.4923239179,0.4957826016
13.36,1,0,0.2800048949,1,trans,0.4920257835,0.4774787892,0.4700753657
13.36,1,0,0.2800048949,1,refl,-0.5057567291,0.4922478371,0.4980978022
13.384,1,0,0.2805078977,1,trans,0.4896431701,0.4773704544,0.4676329848
13.384,1,0,0.2805078977,1,refl,-0.5081330631,0.4921580731,0.5004187788
13.408,1,0,0.2810109005,1,trans,0.4872529482,0.4772480672,0.4651811532
13.408,1,0,0.2810109005,1,refl,-0.5105173453,0.4920544679,0.5027455592
13.432,1,0,0.2815139033,1,trans,0.4848550533,0.4771114459,0.4627197545
13.432,1,0,0.2815139033,1,refl,-0.5129096339,0.4919368642,0.5050781709
13.456,1,0,0.2820169062,1,trans,0.482449424,0.4769604108,0.4602486802
13.456,1,0,0.2820169062,1,refl,-0.5153099828,0.4918051057,0.5074166403
13.48,1,0,0.282519909,1,trans,0.4800360026,0.4767947844,0.4577678303
13.48,1,0,0.282519909,1,refl,-0.5177184419,0.4916590362,0.509760993
13.504,1,0,0.2830229118,1,trans,0.4776147349,0.4766143913,0.455277113
13.504,1,0,0.2830229118,1,refl,-0.5201350566,0.4914985007,0.5121112533
13.528,1,0,0.2835259146,1,trans,0.4751855703,0.4764190583,0.4527764453
13.528,1,0,0.2835259146,1,refl,-0.5225598678,0.4913233444,0.5144674441
13.552,1,0,0.2840289174,1,trans,0.4727484624,0.4762086142,0.450265753
13.552,1,0,0.2840289174,1,refl,-0.5249929116,0.4911334132,0.5168295868
13.576,1,0,0.2845319202,1,trans,0.4703033689,0.4759828901,0.4477449705
13.576,1,0,0.2845319202,1,refl,-0.5274342195,0.4909285537,0.5191977007
13.6,1,0,0.285034923,1,trans,0.4678502519,0.4757417189,0.4452140413
13.6,1,0,0.285034923,1,refl,-0.5298838181,0.4907086129,0.5215718034
13.624,1,0,0.2855379258,1,trans,0.4653890777,0.4754849359,0.4426729179
13.624,1,0,0.2855379258,1,refl,-0.5323417291,0.4904734385,0.5239519104
13.648,1,0,0.2860409286,1,trans,0.4629198176,0.4752123782,0.4401215619
13.648,1,0,0.2860409286,1,refl,-0.534807969,0.4902228786,0.5263380344
13.672,1,0,0.2865439314,1,trans,0.4604424474,0.4749238852,0.437559944
13.672,1,0,0.2865439314,1,refl,-0.5372825495,0.4899567819,0.5287301861
13.696,1,0,0.2870469342,1,trans,0.4579569478,0.474619298,0.4349880441
13.696,1,0,0.2870469342,1,refl,-0.5397654767,0.4896749976,0.5311283731
13.72,1,0,0.287549937,1,trans,0.4554633047,0.4742984599,0.432405851
13.72,1,0,0.287549937,1,refl,-0.5422567517,0.4893773754,0.5335326003
13.744,1,0,0.2880529398,1,trans,0.4529615091,0.4739612159,0.4298133629
13.744,1,0,0.2880529398,1,refl,-0.5447563702,0.4890637655,0.5359428696
13.768,1,0,0.2885559426,1,trans,0.4504515571,0.4736074132,0.4272105871
13.768,1,0,0.2885559426,1,refl,-0.5472643225,0.4887340185,0.5383591796
13.792,1,0,0.2890589454,1,trans,0.4479334503,0.4732369005,0.4245975399
13.792,1,0,0.2890589454,1,refl,-0.5497805936,0.4883879857,0.5407815257
13.816,1,0,0.2895619482,1,trans,0.4454071958,0.4728495285,0.4219742466
13.816,1,0,0.2895619482,1,refl,-0.5523051629,0.4880255185,0.5432098997
13.84,1,0,0.290064951,1,trans,0.4428728059,0.4724451497,0.4193407417
13.84,1,0,0.290064951,1,refl,-0.5548380043,0.4876464691,0.5456442898
13.864,1,0,0.2905679538,1,trans,0.4403302989,0.4720236181,0.4166970682
13.864,1,0,0.2905679538,1,refl,-0.5573790862,0.48725069,0.5480846807
13.888,1,0,0.2910709566,1,trans,0.4377796984,0.4715847896,0.4140432781
13.888,1,0,0.2910709566,1,refl,-0.5599283716,0.4868380342,0.5505310528
13.912,1,0,0.2915739595,1,trans,0.435221034,0.4711285215,0.4113794322
13.912,1,0,0.2915739595,1,refl,-0.5624858177,0.486408355,0.5529833829
13.936,1,0,0.2920769623,1,trans,0.4326543408,0.4706546727,0.4087055995
13.936,1,0,0.2920769623,1,refl,-0.5650513763,0.4859615064,0.5554416436
13.96,1,0,0.2925799651,1,trans,0.4300796598,0.4701631037,0.4060218579
13.96,1,0,0.2925799651,1,refl,-0.5676249937,0.4854973426,0.5579058032
13.984,1,0,0.2930829679,1,trans,0.4274970378,0.4696536764,0.4033282931
13.984,1,0,0.2930829679,1,refl,-0.5702066106,0.4850157183,0.5603758258
14.008,1,0,0.2935859707,1,trans,0.4249065274,0.469126254,0.4006249992
