freq_THz,Re_S11,Im_S11,Re_S21,Im_S21
18.564320,-1.01658377e-01,1.10535471e-01,-7.30327141e-01,-6.63674308e-01
18.586800,-1.01461885e-01,1.10973670e-01,-7.32236305e-01,-6.61517606e-01
18.609280,-1.01263713e-01,1.11411697e-01,-7.34139087e-01,-6.59355354e-01
18.631760,-1.01063860e-01,1.11849546e-01,-7.36035471e-01,-6.57187571e-01
18.654240,-1.00862325e-01,1.12287212e-01,-7.37925441e-01,-6.55014275e-01
18.676720,-1.00659108e-01,1.12724687e-01,-7.39808981e-01,-6.52835486e-01
18.699200,-1.00454207e-01,1.13161967e-01,-7.41686074e-01,-6.50651224e-01
18.721680,-1.00247621e-01,1.13599043e-01,-7.43556706e-01,-6.48461507e-01
18.744160,-1.00039351e-01,1.14035911e-01,-7.45420860e-01,-6.46266356e-01
18.766640,-9.98293946e-02,1.14472564e-01,-7.47278521e-01,-6.44065789e-01
18.789120,-9.96177521e-02,1.14908995e-01,-7.49129672e-01,-6.41859826e-01
18.811600,-9.94044227e-02,1.15345199e-01,-7.50974299e-01,-6.39648486e-01
18.834080,-9.91894056e-02,1.15781169e-01,-7.52812385e-01,-6.37431789e-01
18.856560,-9.89727003e-02,1.16216899e-01,-7.54643915e-01,-6.35209755e-01
18.879040,-9.87543062e-02,1.16652382e-01,-7.56468874e-01,-6.32982403e-01
18.901520,-9.85342227e-02,1.17087612e-01,-7.58287246e-01,-6.30749753e-01
18.924000,-9.83124494e-02,1.17522584e-01,-7.60099015e-01,-6.28511825e-01
18.946480,-9.80889857e-02,1.17957290e-01,-7.61904167e-01,-6.26268638e-01
18.968960,-9.78638311e-02,1.18391724e-01,-7.63702687e-01,-6.24020212e-01
18.991440,-9.76369852e-02,1.18825880e-01,-7.65494559e-01,-6.21766567e-01
19.013920,-9.74084476e-02,1.19259752e-01,-7.67279767e-01,-6.19507722e-01
19.036400,-9.71782178e-02,1.19693333e-01,-7.69058298e-01,-6.17243699e-01
19.058880,-9.69462954e-02,1.20126617e-01,-7.70830135e-01,-6.14974516e-01
19.081360,-9.67126801e-02,1.20559598e-01,-7.72595265e-01,-6.12700194e-01
19.103840,-9.64773716e-02,1.20992270e-01,-7.74353671e-01,-6.10420753e-01
19.126320,-9.62403696e-02,1.21424625e-01,-7.76105340e-01,-6.08136213e-01
19.148800,-9.60016736e-02,1.21856658e-01,-7.77850256e-01,-6.05846593e-01
19.171280,-9.57612836e-02,1.22288363e-01,-7.79588405e-01,-6.03551915e-01
19.193760,-9.55191992e-02,1.22719732e-01,-7.81319772e-01,-6.01252197e-01
19.216240,-9.52754203e-02,1.23150760e-01,-7.83044343e-01,-5.98947462e-01
19.238720,-9.50299466e-02,1.23581440e-01,-7.84762102e-01,-5.96637728e-01
19.261200,-9.47827779e-02,1.24011767e-01,-7.86473036e-01,-5.94323016e-01
19.283680,-9.45339142e-02,1.24441733e-01,-7.88177130e-01,-5.92003347e-01
19.306160,-9.42833553e-02,1.24871332e-01,-7.89874370e-01,-5.89678740e-01
19.328640,-9.40311011e-02,1.25300558e-01,-7.91564741e-01,-5.87349217e-01
19.351120,-9.37771515e-02,1.25729404e-01,-7.93248230e-01,-5.85014798e-01
19.373600,-9.35215065e-02,1.26157865e-01,-7.94924821e-01,-5.82675503e-01
19.396080,-9.32641660e-02,1.26585933e-01,-7.96594501e-01,-5.80331352e-01
19.418560,-9.30051302e-02,1.27013603e-01,-7.98257256e-01,-5.77982367e-01
19.441040,-9.27443989e-02,1.27440868e-01,-7.99913072e-01,-5.75628568e-01
19.463520,-9.24819722e-02,1.27867721e-01,-8.01561935e-01,-5.73269976e-01
19.486000,-9.22178502e-02,1.28294157e-01,-8.03203831e-01,-5.70906611e-01
19.508480,-9.19520331e-02,1.28720168e-01,-8.04838746e-01,-5.68538494e-01
19.530960,-9.16845208e-02,1.29145749e-01,-8.06466666e-01,-5.66165646e-01
19.553440,-9.14153136e-02,1.29570893e-01,-8.08087578e-01,-5.63788088e-01
19.575920,-9.11444116e-02,1.29995594e-01,-8.09701468e-01,-5.61405840e-01
19.598400,-9.08718151e-02,1.30419845e-01,-8.11308322e-01,-5.59018924e-01
19.620880,-9.05975241e-02,1.30843639e-01,-8.12908128e-01,-5.56627360e-01
19.643360,-9.03215391e-02,1.31266972e-01,-8.14500871e-01,-5.54231169e-01
19.665840,-9.00438601e-02,1.31689835e-01,-8.16086538e-01,-5.51830373e-01
19.688320,-8.97644876e-02,1.32112223e-01,-8.17665116e-01,-5.49424992e-01
19.710800,-8.94834218e-02,1.32534129e-01,-8.19236591e-01,-5.47015047e-01
19.733280,-8.92006631e-02,1.32955547e-01,-8.20800951e-01,-5.44600560e-01
19.755760,-8.89162118e-02,1.33376471e-01,-8.22358181e-01,-5.42181552e-01
19.778240,-8.86300683e-02,1.33796894e-01,-8.23908270e-01,-5.39758043e-01
19.800720,-8.83422330e-02,1.34216809e-01,-8.25451204e-01,-5.37330055e-01
19.823200,-8.80527064e-02,1.34636211e-01,-8.26986969e-01,-5.34897610e-01
19.845680,-8.77614888e-02,1.35055093e-01,-8.28515554e-01,-5.32460728e-01
19.868160,-8.74685808e-02,1.35473448e-01,-8.30036945e-01,-5.30019432e-01
19.890640,-8.71739829e-02,1.35891270e-01,-8.31551130e-01,-5.27573741e-01
19.913120,-8.68776956e-02,1.36308552e-01,-8.33058095e-01,-5.25123678e-01
19.935600,-8.65797195e-02,1.36725289e-01,-8.34557828e-01,-5.22669264e-01
19.958080,-8.62800551e-02,1.37141474e-01,-8.36050317e-01,-5.20210521e-01
19.980560,-8.59787030e-02,1.37557100e-01,-8.37535549e-01,-5.17747470e-01
20.003040,-8.56756638e-02,1.37972161e-01,-8.39013511e-01,-5.15280132e-01
20.025520,-8.53709382e-02,1.38386651e-01,-8.40484191e-01,-5.12808529e-01
20.048000,-8.50645269e-02,1.38800563e-01,-8.41947577e-01,-5.10332683e-01
20.070480,-8.47564306e-02,1.39213891e-01,-8.43403657e-01,-5.07852616e-01
20.092960,-8.44466499e-02,1.39626628e-01,-8.44852417e-01,-5.05368348e-01
20.115440,-8.41351856e-02,1.40038768e-01,-8.46293847e-01,-5.02879902e-01
20.137920,-8.38220384e-02,1.40450304e-01,-8.47727933e-01,-5.00387300e-01
20.160400,-8.35072093e-02,1.40861231e-01,-8.49154665e-01,-4.97890563e-01
20.182880,-8.31906989e-02,1.41271541e-01,-8.50574029e-01,-4.95389712e-01
20.205360,-8.28725081e-02,1.41681229e-01,-8.51986014e-01,-4.92884771e-01
20.227840,-8.25526378e-02,1.42090287e-01,-8.53390608e-01,-4.90375760e-01
20.250320,-8.22310888e-02,1.42498710e-01,-8.54787800e-01,-4.87862702e-01
20.272800,-8.19078621e-02,1.42906491e-01,-8.56177577e-01,-4.85345619e-01
20.295280,-8.15829586e-02,1.43313624e-01,-8.57559928e-01,-4.82824532e-01
20.317760,-8.12563792e-02,1.43720102e-01,-8.58934842e-01,-4.80299464e-01
20.340240,-8.09281249e-02,1.44125919e-01,-8.60302306e-01,-4.77770436e-01
20.362720,-8.05981967e-02,1.44531068e-01,-8.61662310e-01,-4.75237470e-01
20.385200,-8.02665957e-02,1.44935544e-01,-8.63014841e-01,-4.72700590e-01
20.407680,-7.99333228e-02,1.45339339e-01,-8.64359889e-01,-4.70159816e-01
20.430160,-7.95983793e-02,1.45742447e-01,-8.65697443e-01,-4.67615171e-01
20.452640,-7.92617660e-02,1.46144862e-01,-8.67027490e-01,-4.65066678e-01
20.475120,-7.89234843e-02,1.46546578e-01,-8.68350021e-01,-4.62514358e-01
20.497600,-7.85835352e-02,1.46947588e-01,-8.69665023e-01,-4.59958233e-01
20.520080,-7.82419198e-02,1.47347885e-01,-8.70972486e-01,-4.57398326e-01
20.542560,-7.78986395e-02,1.47747464e-01,-8.72272399e-01,-4.54834660e-01
20.565040,-7.75536953e-02,1.48146318e-01,-8.73564751e-01,-4.52267256e-01
20.587520,-7.72070886e-02,1.48544440e-01,-8.74849531e-01,-4.49696137e-01
20.610000,-7.68588205e-02,1.48941824e-01,-8.76126728e-01,-4.47121326e-01
20.632480,-7.65088924e-02,1.49338464e-01,-8.77396332e-01,-4.44542844e-01
20.654960,-7.61573056e-02,1.49734354e-01,-8.78658332e-01,-4.41960715e-01
20.677440,-7.58040614e-02,1.50129486e-01,-8.79912718e-01,-4.39374960e-01
20.699920,-7.54491611e-02,1.50523855e-01,-8.81159478e-01,-4.36785603e-01
20.722400,-7.50926062e-02,1.50917455e-01,-8.82398603e-01,-4.34192666e-01
20.744880,-7.47343980e-02,1.51310278e-01,-8.83630082e-01,-4.31596170e-01
20.767360,-7.43745380e-02,1.51702319e-01,-8.84853904e-01,-4.28996140e-01
20.789840,-7.40130276e-02,1.52093571e-01,-8.86070061e-01,-4.26392598e-01
20.812320,-7.36498683e-02,1.52484027e-01,-8.87278540e-01,-4.23785566e-01
20.834800,-7.32850615e-02,1.52873682e-01,-8.88479333e-01,-4.21175067e-01
20.857280,-7.29186089e-02,1.53262530e-01,-8.89672429e-01,-4.18561124e-01
20.879760,-7.25505119e-02,1.53650562e-01,-8.90857819e-01,-4.15943760e-01
20.902240,-7.21807721e-02,1.54037775e-01,-8.92035491e-01,-4.13322997e-01
20.924720,-7.18093910e-02,1.54424160e-01,-8.93205437e-01,-4.10698858e-01
20.947200,-7.14363704e-02,1.54809712e-01,-8.94367647e-01,-4.08071366e-01
20.969680,-7.10617118e-02,1.55194424e-01,-8.95522110e-01,-4.05440543e-01
20.992160,-7.06854169e-02,1.55578290e-01,-8.96668818e-01,-4.02806414e-01
21.014640,-7.03074873e-02,1.55961304e-01,-8.97807760e-01,-4.00169000e-01
21.037120,-6.99279248e-02,1.56343460e-01,-8.98938928e-01,-3.97528325e-01
21.059600,-6.95467312e-02,1.56724750e-01,-9.00062311e-01,-3.94884412e-01
21.082080,-6.91639080e-02,1.57105169e-01,-9.01177900e-01,-3.92237283e-01
21.104560,-6.87794572e-02,1.57484710e-01,-9.02285686e-01,-3.89586962e-01
21.127040,-6.83933805e-02,1.57863367e-01,-9.03385661e-01,-3.86933472e-01
21.149520,-6.80056797e-02,1.58241134e-01,-9.04477813e-01,-3.84276835e-01
21.172000,-6.76163567e-02,1.58618005e-01,-9.05562135e-01,-3.81617076e-01
21.194480,-6.72254134e-02,1.58993972e-01,-9.06638617e-01,-3.78954216e-01
21.216960,-6.68328515e-02,1.59369031e-01,-9.07707251e-01,-3.76288280e-01
21.239440,-6.64386731e-02,1.59743174e-01,-9.08768026e-01,-3.73619290e-01
21.261920,-6.60428801e-02,1.60116395e-01,-9.09820936e-01,-3.70947270e-01
21.284400,-6.56454744e-02,1.60488688e-01,-9.10865970e-01,-3.68272243e-01
21.306880,-6.52464580e-02,1.60860047e-01,-9.11903120e-01,-3.65594232e-01
21.329360,-6.48458330e-02,1.61230465e-01,-9.12932377e-01,-3.62913261e-01
21.351840,-6.44436012e-02,1.61599936e-01,-9.13953734e-01,-3.60229352e-01
21.374320,-6.40397649e-02,1.61968454e-01,-9.14967180e-01,-3.57542529e-01
21.396800,-6.36343260e-02,1.62336013e-01,-9.15972708e-01,-3.54852816e-01
21.419280,-6.32272866e-02,1.62702606e-01,-9.16970310e-01,-3.52160236e-01
21.441760,-6.28186489e-02,1.63068227e-01,-9.17959976e-01,-3.49464812e-01
21.464240,-6.24084150e-02,1.63432869e-01,-9.18941700e-01,-3.46766568e-01
21.486720,-6.19965871e-02,1.63796528e-01,-9.19915472e-01,-3.44065527e-01
21.509200,-6.15831674e-02,1.64159195e-01,-9.20881284e-01,-3.41361713e-01
21.531680,-6.11681580e-02,1.64520866e-01,-9.21839129e-01,-3.38655149e-01
21.554160,-6.07515611e-02,1.64881534e-01,-9.22788999e-01,-3.35945859e-01
21.576640,-6.03333792e-02,1.65241192e-01,-9.23730885e-01,-3.33233866e-01
21.599120,-5.99136143e-02,1.65599835e-01,-9.24664780e-01,-3.30519194e-01
21.621600,-5.94922689e-02,1.65957456e-01,-9.25590675e-01,-3.27801867e-01
21.644080,-5.90693452e-02,1.66314049e-01,-9.26508564e-01,-3.25081907e-01
